review_date,review_title,review_comment,review_rating,review_link
12 August 2022,One word to describe my experience watching this movie: Serotonin,SCORE 10 10 I have one word to describe my experience watching this movie Serotonin Even when I was completely sobbing in complete depression I still could not help but marvel at the beauty of what I was experiencing When this movie first came out I remember leaving the theater so frustrated at how it ended How could they build up such a beautiful bond between Ryan Gosling and Emma Stone s characters just for them to rip my young heart out by them not ending up together I was furious and never went back to watch it until now You know who I can thank for that Nicole Kidman I am an AMC A List member and every single time her ad plays before a movie I see the short clip from La La Land This movie tackles so many deep topics about life some of which I am in the heat of battle with There is so much pressure to hold a steady job in order to survive in today s world In Sebastian s case he took the steady paying job at the sacrifice of both his dreams and relationship It s amazing what we will tell ourselves to convince ourselves that we are happy Safety is comfort and comfort leads to happiness But we only get one life on this earth Why would we spend it doing something we don t like for the chance that everything else will work out In Mia s case all she wants was for Sebastian to be supportive of her dream as much as she was for him Sure it stung a lot for her to have a low turn out at her play but it hurt way more for Sebastian not to show up Once they split and he receives the call from the casting agent we see a complete switch in his mentality and the story unfolds beautifully from there Mia gets the part goes to Paris and then 5 years later we are presented with the sad reality that she had moved on had a child and was living her best life And then her and her husband take an unexpected turn to avoid traffic and stumble upon a surprise venue Half way through the movie I was actually inspired to learn Mia and Sebastian s theme on piano and I can t help but cry while playing it because of the meaning behind the song It was their song The song she heard when she first met him and the song she hears 5 years later when walking into a random Jazz bar one night only to find that it was Sebastian s Not only that but the name of the place was Seb s the name that she suggested We then get a scene of what would have happened if things had all gone right and we see a life where Mia and Sebastian are together and happy but are quickly reminded of reality which teaches a very important lesson We can only move forward 2 people once in love forced to go their separate ways to follow their dreams are once again together sharing a magical moment with the song that started it all 6 years ago I didn t understand but now I do They both found happiness and neither of them would have done it without the other We never know why we are in certain peoples lives but the power we hold to make a difference is immense Now it is my turn to discover what my dream is I am currently trapped in the world of security and stability and the fear of doing something I am not comfortable with This movie has changed my life and I hope to look back in 10 20 30 40 years to credit this film for being the catalyst for me to start living my life the way I want,10,https://www.imdb.com/review/rw8433281/?ref_=tt_urv
7 February 2020,My favourite movie,SCORE 10 10 I have one word to describe my experience watching this movie Serotonin Even when I was completely sobbing in complete depression I still could not help but marvel at the beauty of what I was experiencing When this movie first came out I remember leaving the theater so frustrated at how it ended How could they build up such a beautiful bond between Ryan Gosling and Emma Stone s characters just for them to rip my young heart out by them not ending up together I was furious and never went back to watch it until now You know who I can thank for that Nicole Kidman I am an AMC A List member and every single time her ad plays before a movie I see the short clip from La La Land This movie tackles so many deep topics about life some of which I am in the heat of battle with There is so much pressure to hold a steady job in order to survive in today s world In Sebastian s case he took the steady paying job at the sacrifice of both his dreams and relationship It s amazing what we will tell ourselves to convince ourselves that we are happy Safety is comfort and comfort leads to happiness But we only get one life on this earth Why would we spend it doing something we don t like for the chance that everything else will work out In Mia s case all she wants was for Sebastian to be supportive of her dream as much as she was for him Sure it stung a lot for her to have a low turn out at her play but it hurt way more for Sebastian not to show up Once they split and he receives the call from the casting agent we see a complete switch in his mentality and the story unfolds beautifully from there Mia gets the part goes to Paris and then 5 years later we are presented with the sad reality that she had moved on had a child and was living her best life And then her and her husband take an unexpected turn to avoid traffic and stumble upon a surprise venue Half way through the movie I was actually inspired to learn Mia and Sebastian s theme on piano and I can t help but cry while playing it because of the meaning behind the song It was their song The song she heard when she first met him and the song she hears 5 years later when walking into a random Jazz bar one night only to find that it was Sebastian s Not only that but the name of the place was Seb s the name that she suggested We then get a scene of what would have happened if things had all gone right and we see a life where Mia and Sebastian are together and happy but are quickly reminded of reality which teaches a very important lesson We can only move forward 2 people once in love forced to go their separate ways to follow their dreams are once again together sharing a magical moment with the song that started it all 6 years ago I didn t understand but now I do They both found happiness and neither of them would have done it without the other We never know why we are in certain peoples lives but the power we hold to make a difference is immense Now it is my turn to discover what my dream is I am currently trapped in the world of security and stability and the fear of doing something I am not comfortable with This movie has changed my life and I hope to look back in 10 20 30 40 years to credit this film for being the catalyst for me to start living my life the way I want,10,https://www.imdb.com/review/rw5465260/?ref_=tt_urv
12 January 2017,"Like a dream come true, one of those films that totally banishes the blues away",Having just gotten back from seeing La La Land with a rare day off music college it came to me that it was one of the best new release first viewings for me in a while Very few films in recent memory has left me leave the cinema with my heart properly warmed a beaming smile on my face tears in my eyes feeling uplifted and properly moved La La Land however has managed that feat Would also go further to say that it is one of the best modern film musicals after Disney s Renaissance period in the 90s and very much a modern classic Am not surprised at all its award wins and nominations including being a record breaker at the Golden Globes and if it does well at the Oscars as well there will be no complaints from me La La Land clicked with me most likely because of my love for golden age Hollywood musicals a somewhat maligned genre these days but while there are a fair share of not particularly good ones there are a bigger number of great ones and even masterpieces and how it fondly reminded me of what makes me love them so much Also because of being able to relate to its themes and conflicts due to being there myself The talent was also appetising starring Ryan Gosling and Emma Stone directed by Whiplash s Damien Chazelle and featuring cameo support from JK Simmons who coincidentally won a Best Supporting Actor Oscar for Whiplash John Legend and Rosemarie DeWitt It was just sheer joy to see a film with so much potential deliver on that potential and even more so having seen a lot of stuff recently film and TV that wasted their potential it was refreshing to see a film actually delivering on it Visually La La Land is a gorgeous looking film with lots of vibrant colour that leap out at you from the screen while not having too much of a dizzying effect and cinematography that s not just a dream to behold but inventively done without falling into self indulgent territory The music and songs may induce and has induced mixed reactions count me in as somebody who found the songs infectious emotion filled and with enough to make one top tap and hum along The musical numbers are winningly choreographed too with non stop exuberance The opening number is especially true to this The script is warm funny affectionate and poignant and also with an honesty It s not a complex script nor did it need to be and neither does it make the mistake of being too simple The story is admittedly slight in places then again so were the stories of even the best golden age musicals and they still managed to be classics because of how everything else was executed and because of the atmosphere Something that is true with La La Land a film where anybody can relate to its themes Even more special though is that not only does it pay tribute to musicals and films of the golden age especially those with MGM with their bold colour exuberant marriage of music and dance it also has a winsomeness and melancholic nature seen in films like The Umbrellas of Cherbourg yet does it in a way that will appeal hugely to modern audiences Loved that the two leads relationship and chemistry was much more complex than the love at first sight sort far from it more antagonists turned lovers with a meet cute first encounter again also not a case Chazelle s direction shows someone with a sheer love for film and film making more than evident in execution that is affectionate and full of life rather than self indulgent The chemistry between the two leads and their performances would need to be good to make the film work No worries there Ryan Gosling and Emma Stone look so natural and at ease together nothing looks false and it is easy to root for them and their conflicts Both of them give terrific performances performances so good that less than great singing was immediately forgotten about Especially Stone who has never been better in a performance of great expressivity and nuance so many emotions such as vulnerability strength cheekiness charm and buoyancy with never a hint of a heavy handed touch Gosling matches her if not quite as good showing a very charismatic presence and an effortless twinkling charm All the support although basically cameos registers memorably All in all a dream come true and totally banishes any blues and daily troubles away 10 10 Bethany Cox,10,https://www.imdb.com/review/rw3618065/?ref_=tt_urv
16 April 2020,Dream or Love,SCORE 10 10 I have one word to describe my experience watching this movie Serotonin Even when I was completely sobbing in complete depression I still could not help but marvel at the beauty of what I was experiencing When this movie first came out I remember leaving the theater so frustrated at how it ended How could they build up such a beautiful bond between Ryan Gosling and Emma Stone s characters just for them to rip my young heart out by them not ending up together I was furious and never went back to watch it until now You know who I can thank for that Nicole Kidman I am an AMC A List member and every single time her ad plays before a movie I see the short clip from La La Land This movie tackles so many deep topics about life some of which I am in the heat of battle with There is so much pressure to hold a steady job in order to survive in today s world In Sebastian s case he took the steady paying job at the sacrifice of both his dreams and relationship It s amazing what we will tell ourselves to convince ourselves that we are happy Safety is comfort and comfort leads to happiness But we only get one life on this earth Why would we spend it doing something we don t like for the chance that everything else will work out In Mia s case all she wants was for Sebastian to be supportive of her dream as much as she was for him Sure it stung a lot for her to have a low turn out at her play but it hurt way more for Sebastian not to show up Once they split and he receives the call from the casting agent we see a complete switch in his mentality and the story unfolds beautifully from there Mia gets the part goes to Paris and then 5 years later we are presented with the sad reality that she had moved on had a child and was living her best life And then her and her husband take an unexpected turn to avoid traffic and stumble upon a surprise venue Half way through the movie I was actually inspired to learn Mia and Sebastian s theme on piano and I can t help but cry while playing it because of the meaning behind the song It was their song The song she heard when she first met him and the song she hears 5 years later when walking into a random Jazz bar one night only to find that it was Sebastian s Not only that but the name of the place was Seb s the name that she suggested We then get a scene of what would have happened if things had all gone right and we see a life where Mia and Sebastian are together and happy but are quickly reminded of reality which teaches a very important lesson We can only move forward 2 people once in love forced to go their separate ways to follow their dreams are once again together sharing a magical moment with the song that started it all 6 years ago I didn t understand but now I do They both found happiness and neither of them would have done it without the other We never know why we are in certain peoples lives but the power we hold to make a difference is immense Now it is my turn to discover what my dream is I am currently trapped in the world of security and stability and the fear of doing something I am not comfortable with This movie has changed my life and I hope to look back in 10 20 30 40 years to credit this film for being the catalyst for me to start living my life the way I want,8,https://www.imdb.com/review/rw5644563/?ref_=tt_urv
4 April 2020,Loving you is like loving part of my life,This movie is infinitely close to when we were young arrogant romantic dreamy longing for love but lack of money Then when we have tasted the hardships and pains of society and finally achieved something is the person around you still the one you love the most Only when you have thoroughly pained and loved can you understand how difficult it is to be innocent love Only when you let go can you support your dream and fulfill your pursuit In the end Mia s fantasy surprised all the audience This is the fantasy of all sweet love and it is the most exciting meaning of this movie I dare say that if there is no final fantasy or the hero and heroine are together again this movie will eventually become a second rate love song and dance drama Only if you can t get it can you fully understand the bitterness and sweetness of youth After all the most beautiful love is just a flash in the pan I love you but I can only wish you happiness This is the supreme love This love becomes a part of life and a belief LA LA LAND loving you is like loving part of my life,8,https://www.imdb.com/review/rw5606651/?ref_=tt_urv
18 January 2017,"Nostalgic, Colourful, Joyous CinemaScope Magic",Do I like musicals Not really but damn La La Land is a nostalgic colourful joyful marvel Damien Chazelle gained international acclaim and recognition from his masterful drama Whiplash what were the chances that he could pull off similar success two times in the row Well if La La Land is anything to go by then I d say he did the job With just three films under his belt as of 2016 Chazelle is slowly becoming the next big thing this movie industry has seen His passion for classic movies and musicals is evident as he references and pulls influence from films like Singin in the Rain The Umbrellas of Cherborg and even Rebel Without a Cause the latter of which is one of my favourite films so seeing the nod to it was something I was pleased about The chemistry between Gosling and Stone is strong to say the least after two previous collaborations their already strong bond helped them become one of modern day cinema s finest couples The music is bouncy and toe tapping catchy the cinematography is utterly stunning with gorgeous colours and impressive long takes and the locations sum up the American dream and the passion the characters hold for Los Angeles La La Land is by far one of the finest cinema experiences I have had in the past 5 10 years and although this isn t a film I would typically enjoy genre wise Chazelle has instead crafted one of my favourite films of this decade A film I would recommend everyone see in the cinema to truly witness the CinemaScope magic,,https://www.imdb.com/review/rw3622383/?ref_=tt_urv
1 January 2017,Love letter to Hollywood .. and a Heck of a Film,Writer Director Damien Chazelle who already had a nice career going for him explodes into the Bigtime with this delightful mesmerizing and completely unexpected ode to Tinseltown The opening sequence satirized on the Golden Globes really does not do the rest of the film justice It is as if the cast from the FAME remake grew up had children of their own and then those children hijacked the Santa Monica freeway to do a 10 minute flash mob dance sequence From that point on the film is hypnotic We segue to a love story as pure as anything since the great dramas of the 1940s If the film had been in B W you would almost have expected to see Bette Davis in a 3 hankie tear jerker Except for the musical interludes of course which are pitch perfect and totally wonderful Gosling is surprising as a leading man expected to do song and dance but he delivers the goods Stone who was supposed to be the next big thing after Easy A 2010 steals the film and possibly the hearts of the audience as well The awards should flow like water and she will deserve every one As I said deep in the DNA this is an ode to Hollywood The film industry has always had issues with endings back in the day they would film several different endings per picture and then decide at the last minute which to use Here Chazelle pays homage to that by giving us an alternate ending along with the real ending along with a closing sequence designed to remind everyone that nothing in Hollywood is actually real but everything still can be really fun Destined to be a classic Recommended Designated IMDb Top Reviewer Please check out my list 167 Nearly Perfect Movies with the occasional Anime or TV miniseries you can should see again and again 1932 to the present,10,https://www.imdb.com/review/rw3610731/?ref_=tt_urv
27 November 2019,Shocked me how good it was,I remember when I saw the trailers for this movie I thought it would be a sad but sweet love story and nothing more And while it is that it brings so much more flare and beauty that I would never have expected from this It took me three years to see it and it far out shone any expectation I had,9,https://www.imdb.com/review/rw5283962/?ref_=tt_urv
20 March 2018,The best movie of 2016,The main characters in this Los Angeles romantic musical are Mia Emma Stone a coffee shop employee with dreams of being an actress and Sebastian Ryan Gosling a jazz pianist who aspires to open his own club that plays jazz like it was played in the good old days At long last a movie released during the 2016 awards season that actually lives up to the hype Early in the film there are two superb group musical numbers The numbers that follow are more low key relating only to the main characters but they are still well performed and executed The stories of career struggle within the broader narrative are very believable They include the hell of auditioning to people who are too busy plus the desire to maintain the purity of a great music genre jazz while too often being told it is a dying art Gosling takes a while to break into the role particularly where the singing is concerned but it s not long before he fits into the part quite nicely Stone is superb throughout the film She is even spot on as an actress giving mediocre auditions She s given a full range and not just as a triple threat and she fully lives up to the expectations especially during the song Audition near the end There is something uniquely enjoyable about Hollywood portraying itself The movie also gives nods to great classic musicals like Singin in the Rain Les Demoiselles de Rochefort and Les Parapluies de Cherbourg all the while being unique and standing out on its own In addition the set designs and photography add further to the film s greatness The reference to Les Parapluies de Cherbourg comes through strongly in the movie s final number This scene is probably the best scene of any movie in 2016 It leaves one with so many mixed emotions and extreme on either side The production number is magnificent while its mood is melancholy The teaming of director writer Damien Chazelle with musical composer Justin Hurwitz is one of the best matches since Jacques Demy and Michel Legrand in the 1960s dbamateurcritic OUTSTANDING ACHIEVEMENTS 1 Directing by Damien Chazelle 2 Acting by Emma Stone 3 Music by Justin Hurwitz,9,https://www.imdb.com/review/rw4098735/?ref_=tt_urv
27 January 2017,For The Love Of Movies,Damien Chazelle is a young director who loves and knows movies from Federico Fellini to Jacques Demy Hallellujah Ryan Gosling and Emma Stone go back to inspire us forward What s more surprising than anything else is the feel of amateurishness in the dancing in the singing So refreshing not to have a sleek but empty experience Damian Chazelle Whiplash was a brilliant preview of forthcoming attractions I would love to see a thriller directed by Chazelle something like Shadow Of A Doubt or even a glossy damsel in distress story like Midnight Lace That s what happens when we discover a new and startling talent You want to see him do everything I have a feeling this young artist will,9,https://www.imdb.com/review/rw3628244/?ref_=tt_urv
